scaffold,start,end,mid,sites,pi_Hls1,pi_Hls2,dxy_Hls1_Hls2,Fst_Hls1_Hls2
scaffold_1,7071037,7096347,7083637,25000,0.000686,0.000655,0.01117,0.891758
scaffold_1,7096349,7122366,7109266,25000,0.001618,0.001602,0.009758,0.725732
scaffold_1,7122367,7148343,7135327,25000,0.0015,0.00152,0.00625,0.62291
scaffold_1,7148344,7173695,7161004,25000,0.001163,0.001297,0.00701,0.712105
scaffold_1,7173696,7202903,7187803,25000,0.000891,0.00081,0.007761,0.810438
scaffold_1,7202904,7228606,7215736,25000,0.001706,0.001893,0.007583,0.628417
scaffold_1,7228607,7260757,7246035,25000,0.000753,0.000894,0.008981,0.839126
scaffold_1,7260758,7286678,7273678,25000,0.001671,0.001292,0.008059,0.700248
scaffold_1,7286679,7312384,7299528,25000,0.0014,0.001697,0.01294,0.794705
scaffold_1,7312385,7338697,7325825,25000,0.001459,0.001427,0.010346,0.763281
scaffold_1,7338698,7364885,7351667,25000,0.001005,0.000999,0.012998,0.86303
scaffold_1,7364886,7391841,7378073,25000,0.002383,0.00232,0.011914,0.681553
scaffold_1,7391842,7419477,7405882,25000,0.000562,0.000545,0.006552,0.850743
scaffold_1,7419478,7451750,7438491,25000,0.000826,0.001043,0.014013,0.880467
scaffold_1,7451751,7477372,7464624,25000,0.001184,0.001206,0.009716,0.789624
scaffold_1,7477373,7503408,7490204,25000,0.001428,0.001446,0.008962,0.733789
scaffold_1,7503409,7532111,7516875,25000,0.001182,0.001223,0.004662,0.602287
scaffold_1,7532112,7564244,7549983,25000,0.001011,0.001228,0.00521,0.653434
scaffold_1,7564245,7600979,7584024,25000,0.001267,0.001343,0.008788,0.751147
scaffold_1,7600982,7641489,7617609,25000,0.000589,0.000617,0.007472,0.856164
scaffold_1,7641490,7680331,7667225,25000,0.001874,0.001799,0.011696,0.73864
scaffold_1,7680332,7707277,7693966,25000,0.001901,0.001891,0.013383,0.761253
scaffold_1,7707278,7739885,7722441,25000,0.00034,0.000399,0.012679,0.946063
scaffold_1,7739886,7770364,7754478,25000,0.000791,0.000882,0.00861,0.82747
scaffold_1,7770365,7795605,7782985,25000,0.001624,0.001612,0.005988,0.586999
scaffold_1,7795606,7844421,7822611,25000,0.001106,0.001114,0.004811,0.635489
scaffold_1,7844422,7871943,7858828,25000,0.001113,0.001075,0.009882,0.808784
scaffold_1,7871944,7897968,7884934,25000,0.00054,0.000514,0.012863,0.924453
