scaffold,start,end,mid,sites,pi1,pi2,dxy,fst,window_size,window_name
scaffold_50,1122161,1163769,1143245,25000,0.003378,0.00141,0.002319,-0.032409,324605,scaffold_50_3
scaffold_50,1163770,1200738,1185528,25000,0.002281,0.001806,0.001847,-0.035496,324605,scaffold_50_3
scaffold_50,1200739,1294055,1254442,25000,0.001131,0.000928,0.00092,-0.060252,324605,scaffold_50_3
scaffold_50,1294056,1407752,1357473,25000,0.003182,0.002764,0.002957,-0.002884,190777,scaffold_50_4
scaffold_50,1407753,1440388,1424459,25000,0.002639,0.002507,0.00291,0.065124,190777,scaffold_50_4
scaffold_50,1440389,1596637,1531540,25000,0.00285,0.002382,0.002699,0.016678,159613,scaffold_50_5
scaffold_50,1596638,1654727,1614507,25000,0.001275,0.002289,0.001833,-0.026124,159613,scaffold_50_5
scaffold_51,6716,100506,65444,25000,0.00244,0.001707,0.002236,0.038938,155834,scaffold_51_1
scaffold_51,100507,199165,150372,25000,0.001109,0.002057,0.001631,0.015772,155834,scaffold_51_1
scaffold_51,199166,264885,236269,25000,0.000816,0.000843,0.000806,-0.015133,176277,scaffold_51_2
scaffold_51,264886,308537,293356,25000,0.001188,0.001151,0.00102,-0.073,176277,scaffold_51_2
scaffold_51,308539,383131,359071,25000,0.001272,0.001009,0.001084,-0.027234,176277,scaffold_51_2
scaffold_51,383132,527998,444499,25000,0.004816,0.002301,0.005328,0.204569,627067,scaffold_51_3
scaffold_51,527999,568029,547976,25000,0.002718,0.002408,0.002961,0.082989,627067,scaffold_51_3
scaffold_51,568030,606066,586163,25000,0.004349,0.002711,0.003331,-0.030964,627067,scaffold_51_3
scaffold_51,606067,646204,624229,25000,0.003978,0.003577,0.004498,0.092329,627067,scaffold_51_3
scaffold_51,646205,682205,664161,25000,0.004221,0.003827,0.005291,0.143823,627067,scaffold_51_3
scaffold_51,682206,780752,751171,25000,0.001611,0.001298,0.001407,-0.017712,627067,scaffold_51_3
scaffold_51,780753,861740,832393,25000,0.002063,0.001214,0.001632,-0.001991,627067,scaffold_51_3
scaffold_51,861741,912166,879679,25000,0.002613,0.001881,0.002078,-0.041924,627067,scaffold_51_3
scaffold_51,912167,951542,930292,25000,0.002163,0.00151,0.001715,-0.044489,627067,scaffold_51_3
scaffold_51,951543,1014619,975434,25000,0.002657,0.005291,0.00455,0.071813,627067,scaffold_51_3
scaffold_51,1014620,1163717,1097001,25000,0.006589,0.0062,0.006732,0.027368,190826,scaffold_51_4
scaffold_51,1163718,1256222,1214994,25000,0.003914,0.003731,0.003784,-0.005369,190826,scaffold_51_4
scaffold_52,545829,674148,615965,25000,0.007523,0.007048,0.007734,0.03177,131496,scaffold_52_1
scaffold_52,868731,1023023,956559,25000,0.006448,0.006582,0.006693,0.014316,134228,scaffold_52_3
scaffold_52,1210457,1348180,1296122,25000,0.005904,0.005724,0.005405,-0.038996,159124,scaffold_52_4
scaffold_53,1567196,1597032,1582535,18211,0.003288,0.002429,0.00326,0.069699,105187,scaffold_53_1
scaffold_54,30310,131449,80655,25000,0.003307,0.004113,0.004098,0.051367,429221,scaffold_54_1
scaffold_54,131450,175373,151933,25000,0.002956,0.003306,0.00354,0.063378,429221,scaffold_54_1
scaffold_54,175374,212912,191457,25000,0.002816,0.006693,0.008356,0.287738,429221,scaffold_54_1
scaffold_54,212913,338298,250111,25000,0.002446,0.003385,0.005894,0.35969,429221,scaffold_54_1
scaffold_54,338299,378945,358261,25000,0.006953,0.006429,0.015939,0.424364,429221,scaffold_54_1
scaffold_54,378946,434174,401803,25000,0.002488,0.00556,0.013981,0.568899,429221,scaffold_54_1
scaffold_54,1369847,1399980,1384990,25000,0.002728,0.002366,0.002819,0.06244,323561,scaffold_54_3
